id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1228773597338974628,5 Star Luxury at Trinity,66948631,Luis & Gavin,,Dublin City,53.34516,-6.26276,Entire home/apt,200,3,1,2024-08-26,0.15,33,21,1,
1228784362564681182,Sophisticated Seafront 3BD+Suntrap Landscaped Yard,548830634,James,,Fingal,53.38126,-6.10142,Entire home/apt,396,2,5,2025-01-01,0.83,37,13,5,
1228808816070835643,Cozy Dublin apartment steps from everything,62256835,Liron,,Dublin City,53.34298218741083,-6.242645685705567,Entire home/apt,209,1,0,,,1,91,0,
1228820308101922686,Entire Apartment in City Centre,597625906,Seamus,,Dublin City,53.34118949355234,-6.274700985623189,Entire home/apt,238,1,46,2025-02-08,7.04,1,231,46,
1228934005045567166,Private double bedroom,22799062,Elżbieta,,Dublin City,53.38138406608835,-6.3170983631054805,Private room,,1,3,2024-08-31,0.46,2,0,3,
1228943914752777601,River Liffey View- Cosy Room,7973919,Eoin,,Dublin City,53.34355,-6.22788,Private room,75,3,4,2025-02-14,0.63,3,1,4,
1228959517169530081,Elegant Loft in Irish Distillery,576349796,Karl,,Dublin City,53.365657586712544,-6.24600054714973,Entire home/apt,169,3,18,2025-03-03,2.86,3,213,18,
1229093799505532168,luxury 1 Double Bedroom with privet bathroom,206650093,Salah,,Dublin City,53.37977,-6.16066,Private room,70,1,2,2024-11-11,0.38,2,362,2,
1229118081320338425,Fairyhouse in Stillorgan Dublin,597725510,Shanbao,,Dn Laoghaire-Rathdown,53.29187082443607,-6.193160600960255,Entire home/apt,844,3,0,,,1,2,0,
1229499905161339683,Dublin-1,559967410,Qurat Ul Ain,,Dublin City,53.34699595893599,-6.234482248322288,Private room,57,7,19,2025-02-23,3.11,4,20,19,
1229503884090926802,Fabulous Donnybrook Cottage,492109525,Martin,,Dublin City,53.32397749902918,-6.235350016809846,Entire home/apt,233,1,1,2024-12-30,0.45,4,157,1,
1229569737351840506,"The View
A hidden Gem in the Dublin Mountains",115815357,Brenda,,South Dublin,53.255765,-6.3844483,Entire home/apt,185,3,11,2025-03-07,1.89,1,235,11,
1229796023534549010,Spacious 2BD Sleeps 5 - Heart of Dublin CityCentre,548830634,James,,Dublin City,53.34943,-6.26945,Entire home/apt,228,2,15,2025-02-23,2.49,37,98,15,
1229817183319821741,Lovely Apartment Great Location,6586912,MaireAine,,Dublin City,53.36342519999999,-6.2423861,Entire home/apt,172,3,21,2025-02-23,3.33,1,6,21,
1230189145864956539,Private double & ensuite. Dublin city & airport.,78571631,Cathal,,Dublin City,53.384720126040946,-6.252236106404615,Private room,64,1,16,2025-02-25,2.55,1,58,16,
1230346695480011314,"One bed apartment, sleeps 4 Rathmines area & wifi",75080927,Liz,,Dublin City,53.326233805602286,-6.265743872476958,Entire home/apt,153,4,10,2025-02-03,1.68,3,244,10,
1230477275066834762,the cabin,598036890,Anna,,Dublin City,53.382210771539164,-6.308822810353967,Entire home/apt,495,1,0,,,1,1,0,
1230559835519348408,lovely studies for couple,487724673,Mustafezur,,Dublin City,53.34305,-6.26046,Entire home/apt,350,1,0,,,2,1,0,
1230600060472983331,Lovely Room and private bathroom,217266644,Carolina,,Dublin City,53.320344760769025,-6.238295523497702,Private room,75,2,7,2024-11-25,1.14,2,84,7,
1230902516418367085,"Modern 3-bed Home Close to Airport, City & Beaches",65604080,Julia,,Dublin City,53.4067844,-6.1655973,Entire home/apt,268,2,13,2025-02-20,2.65,8,148,13,
